st_dbscan_cluster_id,cluster_label,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality
604,POLICE_STATION::Yeshwanthpura,osmnx,trunk,2,7.0,527.1255075617179,2,0.0
775,POLICE_STATION::Sheshadripuram,osmnx,secondary,2,7.0,148.02715126248836,6,0.015217069480282664
36,BTP034 - LRDE Junction,osmnx,tertiary,2,7.0,134.40662017059435,4,0.01931854021015878
755,BTP051 - Safina Plaza Junction,osmnx,secondary,2,7.0,84.39054984622355,3,0.053771441439885555
75,POLICE_STATION::Sheshadripuram,osmnx,residential,2,7.0,109.54528819274796,4,0.026756187041197033
455,POLICE_STATION::Wilson Garden,osmnx,residential,2,7.0,70.24988430128141,6,0.0001653203745880468
530,BTP219 - Canara Bank Junction,osmnx,secondary,2,7.0,178.0629576672631,5,0.008141859491489028
209,BTP074 - Leprosy Hospital Junction,osmnx,primary,2,7.0,26.531448734683334,4,0.0005537283171426772
303,POLICE_STATION::R.T. Nagar,osmnx,tertiary,2,7.0,130.14604686620214,6,0.017183793002148482
161,POLICE_STATION::Jnanabharathi,osmnx,secondary,2,7.0,89.08410999914251,4,0.00897138995194873
139,POLICE_STATION::Jeevanbheemanagar,osmnx,unclassified,2,7.0,26.995516622681894,4,4.344607858552913e-05
113,POLICE_STATION::Jeevanbheemanagar,osmnx,unclassified,2,7.0,37.2838595266391,3,0.01693177356407198
326,POLICE_STATION::Electronic City,osmnx,residential,2,7.0,30.352397895029934,4,6.436456086745057e-06
77,POLICE_STATION::HAL Old Airport,osmnx,trunk,2,7.0,64.37894906039097,4,0.0074905866823517285
134,BTP048 - Shanthala Junction,osmnx,primary,2,7.0,515.5257102177723,4,0.03197010265882574
39,"BTP070 - Cholurpalya Junction, Magadi Road",osmnx,residential,2,7.0,12.16957946454004,6,0.012186560678680056
312,POLICE_STATION::Sadashivanagar,osmnx,tertiary,2,7.0,62.71742946903305,6,0.008871238695238978
482,BTP010 - Rajajinagar Entrance,osmnx,secondary,3,10.5,250.79717350763895,4,0.009808000514103852
602,POLICE_STATION::HAL Old Airport,osmnx,trunk,3,10.5,1781.3542851225627,4,0.003814533517529024
451,BTP061 - Bhashyam Circle,osmnx,tertiary,2,7.0,33.07107148272224,4,0.0022494448554760964
603,POLICE_STATION::Kodigehalli,osmnx,trunk,3,10.5,587.8462017886009,3,0.0005936987094413641
66,"BTP022 - Marenahalli Junction, Vijayanagar",osmnx,tertiary,2,7.0,72.93358933738398,4,0.006531973095072354
195,POLICE_STATION::Banaswadi,osmnx,tertiary,2,7.0,138.73941122133496,2,0.0
556,BTP208 - Havanur Circle,osmnx,secondary,2,7.0,162.218707929637,4,0.004238052328036849
682,BTP018 - Dhobi Ghat Junction,osmnx,secondary,2,7.0,26.433416393637078,4,0.006214881085958858
58,POLICE_STATION::Mahadevapura,osmnx,trunk,3,10.5,1233.0204840192018,4,0.005287613039821931
166,POLICE_STATION::HSR Layout,osmnx,residential,2,7.0,48.738424154170545,2,0.0
716,POLICE_STATION::Shivajinagar,osmnx,residential,2,7.0,93.47173255876089,6,6.436456086745057e-06
182,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",osmnx,secondary,2,7.0,36.630955096664955,4,0.0052881923208697385
564,POLICE_STATION::Jeevanbheemanagar,osmnx,tertiary,2,7.0,203.61440050047483,6,0.008542593247449775
662,POLICE_STATION::K.R. Pura,osmnx,residential,2,7.0,203.3572081606174,2,0.0
403,POLICE_STATION::Sheshadripuram,osmnx,residential,2,7.0,52.11999199358087,4,0.002993466996823391
400,POLICE_STATION::Sheshadripuram,osmnx,residential,2,7.0,52.11999199358087,4,0.002993466996823391
279,POLICE_STATION::HAL Old Airport,osmnx,trunk,3,10.5,1300.519007571314,4,0.007500144819640545
452,POLICE_STATION::Thalagattapura,osmnx,trunk,2,7.0,166.22385419193145,4,1.4353297073441477e-05
723,BTP208 - Havanur Circle,osmnx,secondary,2,7.0,197.88488394760455,6,2.3171241912282204e-05
374,POLICE_STATION::Jeevanbheemanagar,osmnx,unclassified,2,7.0,37.2838595266391,3,0.01693177356407198
581,BTP121 - KH Circle,osmnx,primary,2,7.0,254.39251979707808,3,0.023578927040816638
715,POLICE_STATION::Yelahanka,osmnx,primary,3,10.5,282.46476488993335,4,0.003764232613211112
338,BTP082 - KR Market Junction,osmnx,residential,2,7.0,80.1576240897915,6,5.535352234600749e-06
247,BTP008 - Navarang Theatre,osmnx,secondary,2,7.0,217.97545032159474,4,0.0019464808674730064
613,BTP023 - Mahalaxmi Layout Entrance,osmnx,tertiary,2,7.0,82.97745751514825,5,0.005221703729493663
281,BTP069 - MC Circle,osmnx,primary,2,7.0,202.67122261938005,3,0.01676745084017738
577,BTP028 - Vijayanagar Bus Stand Junction,osmnx,tertiary,2,7.0,430.6617429371603,4,0.0018794773596099903
788,POLICE_STATION::Hulimavu,osmnx,secondary,2,7.0,199.28325353317126,4,0.0046143275508679655
65,BTP061 - Bhashyam Circle,osmnx,residential,2,7.0,51.71426716145635,6,2.7483667490401392e-05
220,BTP054 - Shivananda Circle,osmnx,secondary,2,7.0,53.50203825309511,3,0.008774788400779103
629,POLICE_STATION::Jeevanbheemanagar,osmnx,residential,2,7.0,48.971799689562665,6,7.643291603009755e-05
63,BTP104 - Medical College Circle,osmnx,primary,2,7.0,30.169648032968325,4,0.00048447204964930046
618,POLICE_STATION::Jeevanbheemanagar,osmnx,tertiary,2,7.0,203.61440050047483,6,0.008542593247449775
107,POLICE_STATION::Yelahanka,osmnx,primary,3,10.5,282.46476488993335,4,0.003764232613211112
153,POLICE_STATION::Yelahanka,osmnx,secondary,2,7.0,46.72125457986109,5,0.0001159527564027122
47,POLICE_STATION::Hulimavu,osmnx,trunk,3,10.5,223.34535529330054,6,0.003794323045416645
205,POLICE_STATION::Mahadevapura,osmnx,primary,3,10.5,435.17428846268723,4,1.3709651464766971e-05
678,POLICE_STATION::Jeevanbheemanagar,osmnx,tertiary,2,7.0,203.61440050047483,6,0.008542593247449775
93,POLICE_STATION::Bellandur,osmnx,primary,3,10.5,231.14020167417016,4,0.0016754095193797383
48,POLICE_STATION::Chikkajala,osmnx,residential,2,7.0,113.78832329278389,2,0.0
122,POLICE_STATION::Sadashivanagar,osmnx,residential,2,7.0,33.69681982933375,4,0.00018691468475907645
324,POLICE_STATION::Hebbala,osmnx,tertiary,3,10.5,161.88384932494859,4,0.003065265664471032
207,POLICE_STATION::Jeevanbheemanagar,osmnx,tertiary,2,7.0,203.61440050047483,6,0.008542593247449775
634,POLICE_STATION::Halasur,osmnx,residential,2,7.0,20.103813437941543,6,7.627200462792893e-06
431,POLICE_STATION::Sheshadripuram,osmnx,secondary,2,7.0,41.09603034688859,8,0.008606121069025948
423,BTP185 - RV Teachers College,osmnx,secondary,2,7.0,191.557588577623,4,0.007179351848277171
735,POLICE_STATION::Malleshwaram,osmnx,primary,2,7.0,98.20280941188275,4,0.00021249959770388806
764,BTP098 - Nayandahalli Junction,osmnx,trunk,3,10.5,595.9895825753504,6,0.000768609403598661
225,POLICE_STATION::Yeshwanthpura,osmnx,trunk,3,10.5,215.70894899326876,4,0.02279644707435104
198,POLICE_STATION::Electronic City,osmnx,residential,2,7.0,30.352397895029934,4,6.436456086745057e-06
505,"BTP145 - Sri Hatti Maramma Circle, Domluru",osmnx,primary,2,7.0,308.3882444924752,4,0.015083609563324005
254,"BTP206 - Shankara Mutt Circle, Vijayanagar",osmnx,secondary,2,7.0,127.89500428391696,3,0.012604769412916316
590,POLICE_STATION::Hebbala,osmnx,tertiary,2,7.0,79.45199167461176,4,9.735139831201898e-05
523,BTP047 - Vidhan Soudha Metro Station,osmnx,primary,3,10.5,464.4512614542751,3,0.036854246448850055
261,POLICE_STATION::Mahadevapura,osmnx,primary,3,10.5,435.17428846268723,4,1.3709651464766971e-05
561,POLICE_STATION::Peenya,osmnx,motorway,2,7.0,4532.218137548263,4,0.007246838090346693
456,POLICE_STATION::Mahadevapura,fallback,road,2,7.0,250.0,4,0.0
309,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",osmnx,tertiary,2,7.0,206.30069626263946,6,0.0008419850029875546
757,POLICE_STATION::Whitefield,osmnx,primary,2,7.0,373.5842373313795,3,6.800115855646153e-05
725,POLICE_STATION::Hulimavu,osmnx,residential,2,7.0,134.39997701128686,6,0.0034103562575618683
25,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,tertiary,2,7.0,171.0789001216645,6,0.00012161683775904785
574,POLICE_STATION::Bellandur,osmnx,tertiary,2,7.0,42.20039583671381,6,0.023640652654688524
320,BTP053 - Three Let Junction,osmnx,secondary,2,7.0,58.98332534282063,5,0.0090427380676703
310,BTP218 - Syndicate Bank Junction,osmnx,residential,2,7.0,34.97056523713657,4,0.003436552633834921
585,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,tertiary,2,7.0,81.42570967048351,6,0.04081125092185918
794,BTP218 - Syndicate Bank Junction,osmnx,secondary,2,7.0,70.78905276803462,4,0.004062530170551312
655,POLICE_STATION::Yelahanka,osmnx,secondary,2,7.0,53.57285919119946,6,0.005644707623514548
287,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,primary,2,7.0,84.01273650752655,2,0.0
718,POLICE_STATION::Kodigehalli,osmnx,trunk,3,10.5,460.635866076374,3,0.00871628101495059
516,POLICE_STATION::Kamakshipalya,osmnx,trunk,3,10.5,1463.9037183779415,4,0.007235606474475323
298,BTP136 - Hosur-Tavarkere Road Junction,osmnx,tertiary,2,7.0,349.16642256339287,6,0.0031657387439851226
114,"BTP115 - Sahasra Hospital, Jayanagar",osmnx,primary,2,7.0,97.50217798588943,3,0.026085379587836462
184,"BTP148 - 17th Main, Doopanahalli Bus Stop",osmnx,primary,2,7.0,337.63371137379687,4,0.018881343930466626
471,POLICE_STATION::Jeevanbheemanagar,osmnx,primary,2,7.0,79.76938993836096,4,0.01789881890882499
468,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,residential,2,7.0,77.04984242297428,4,0.037713996070637024
542,"BTP179 - 9th Block, 28th Main, Jayanagar",osmnx,residential,2,7.0,230.70475322915317,4,0.005585202586992589
314,POLICE_STATION::Banaswadi,osmnx,primary,3,10.5,767.8723841714408,2,0.0
630,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",osmnx,secondary,2,7.0,71.20305886784634,4,0.005450809383901353
164,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,128.93672298774078,4,0.0014343964212115696
672,"BTP001 - 10th Cross, Dr. Rajkumar Road",osmnx,residential,2,7.0,77.6156101274455,6,1.9566826503704973e-05
253,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,primary,2,7.0,129.36862712941107,6,8.547613683197436e-05
401,POLICE_STATION::Kodigehalli,osmnx,trunk,3,10.5,562.093274815508,4,0.013159141375667666
187,"BTP022 - Marenahalli Junction, Vijayanagar",osmnx,primary,2,7.0,156.67800849760903,4,0.008253532004594053
