st_dbscan_cluster_id,gap_count,mean_dwell_minutes,median_dwell_minutes,std_dwell_minutes,mu_departures_per_hour
2,624,101.33173076923077,48.0,126.7815500341265,0.592114627313035
3,386,90.65544041450777,65.0,94.00150441932405,0.6618466550379941
4,5,23.8,8.0,30.43287695897317,2.52100840325542
5,16,14.5625,9.5,11.379635044675203,4.120171673536812
7,13,150.0,228.0,92.5535188210251,0.3999999999973334
8,2,2.0,2.0,1.0,29.999999985
9,1,67.0,67.0,0.0,0.8955223880463354
10,2,1.5,1.5,0.5,39.99999997333333
11,23,237.43478260869566,195.0,174.2079781747534,0.25270097051715584
13,19,62.31578947368421,47.0,84.62303570390955,0.962837837822387
14,3,1.0,1.0,0.0,59.999999939999995
15,8,331.875,371.5,149.91117161506008,0.18079096045143264
16,15,44.4,18.0,68.42494671779681,1.3513513513209157
17,29,68.65517241379311,20.0,127.68557174507549,0.8739326971243876
19,68,58.86764705882353,21.5,79.85812869077935,1.019235573302696
20,1,49.0,49.0,0.0,1.2244897958933778
21,1,182.0,182.0,0.0,0.32967032966851834
23,10,41.1,18.0,48.55193096057045,1.4598540145630206
27,48,97.5,61.5,92.87693470394035,0.6153846153783037
29,32,129.65625,66.5,134.815987872127,0.46276211134856393
31,1,92.0,92.0,0.0,0.6521739130363894
32,80,110.9,57.0,110.95467543100654,0.5410279531060321
35,49,159.46938775510205,107.0,158.87436983170403,0.3762477604276381
37,4,181.25,89.0,193.0380467679882,0.3310344827567943
38,1,44.0,44.0,0.0,1.363636363605372
41,1,194.0,194.0,0.0,0.3092783505138697
42,1,64.0,64.0,0.0,0.9374999999853515
45,1,8.0,8.0,0.0,7.4999999990625
47,1,174.0,174.0,0.0,0.3448275862049148
49,10,40.0,32.0,34.91704454847231,1.4999999999625002
52,2,58.5,58.5,21.5,1.0256410256234934
55,5,100.8,35.0,101.96156138467083,0.5952380952321901
70,3,51.0,15.0,61.079183578913906,1.1764705882122262
74,2,69.5,69.5,68.5,0.8633093525055638
76,1,18.0,18.0,0.0,3.3333333331481483
77,3,6.666666666666667,8.0,4.189935029992178,8.999999998649999
78,1,13.0,13.0,0.0,4.615384615029586
81,2,266.0,266.0,223.0,0.22556390977358812
83,2,27.0,27.0,5.0,2.2222222221399175
90,5,90.0,62.0,41.4584128977461,0.6666666666592592
91,5,32.2,38.0,16.154256405046937,1.8633540372092126
95,14,40.0,7.5,60.340699366182356,1.4999999999625002
97,1,7.0,7.0,0.0,8.571428570204082
98,1,185.0,185.0,0.0,0.32432432432257124
101,1,18.0,18.0,0.0,3.3333333331481483
110,2,36.0,36.0,20.0,1.6666666666203704
116,1,3.0,3.0,0.0,19.999999993333333
120,1,9.0,9.0,0.0,6.666666665925926
121,2,3.0,3.0,0.0,19.999999993333333
123,13,187.84615384615384,193.0,138.6283610420577,0.3194103194086191
124,10,42.5,32.0,31.966388598025897,1.4117647058491352
127,1,186.0,186.0,0.0,0.32258064515955603
131,6,80.16666666666667,36.5,117.21976037435932,0.7484407484314123
133,52,204.53846153846155,156.5,162.41263468500668,0.29334336216479373
138,1,9.0,9.0,0.0,6.666666665925926
143,1,26.0,26.0,0.0,2.3076923076035505
144,3,45.666666666666664,53.0,21.06075866524175,1.3138686131099155
145,5,486.0,484.0,8.07465169527454,0.12345679012320276
151,8,60.75,33.0,85.40747918069002,0.9876543209713967
160,1,204.0,204.0,0.0,0.2941176470573818
165,1,5.0,5.0,0.0,11.9999999976
171,1,1.0,1.0,0.0,59.999999939999995
