cluster_key,cluster_label,cluster_label_display,week_start,current_week_risk_raw,records_week,severity_sum_week,severity_mean_week,weekly_growth_pct,growth_surge_week,hotspot_age_weeks,road_class,geometry_source,dominant_vehicle_type,layer_b_alert_flag,layer_d_alert_flag,ccs_score,delay_minutes_per_vehicle,criticality_factor,context_multiplier,layer_b_priority_boost,validation_uncertainty,resurgence_score,persistence_score,anomaly_score,rop,tvs,vdi,network_vulnerability_score,spillover_total_score,road_node_betweenness,road_node_degree,road_node_distance_m,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,nearby_sensitive_poi_count,current_week_ccs_proxy_score,predicted_next_week_risk_raw,model_predicted_next_week_ccs_score,probability_of_escalation,predicted_escalation_flag,predicted_next_week_ccs_score,future_risk_band,predicted_delta_score,predicted_delta_pct,forecast_week_start,lat,lon,forecast_priority_score,forecast_rank,forecast_recommendation
612,BTP028 - Vijayanagar Bus Stand Junction,BTP028 - Vijayanagar Bus Stand Junction (Cluster 612),2023-11-27,4.312915790150771,15,25,1.6666666666666667,-0.1666666666574074,0.0,2,tertiary,osmnx,SCOOTER,0,0,0.8632309948180662,60.0,1.2359955079593403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.544567906797027,5.214215,6.980108,0.2878326252102852,0,5.975229870039291,Watch,0.43066196324226436,7.767277277579154,2023-12-04,12.971957735370571,77.53759844594514,15.929213323750846,412,Routine monitoring
370,BTP219 - Canara Bank Junction,BTP219 - Canara Bank Junction (Cluster 370),2023-11-20,13.791231904129345,11,19,1.7272727272727273,1.7499999995625,1.7499999995625,2,secondary,osmnx,CAR,0,0,1.993701308152699,60.0,1.2562812499681169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64111093972734,6.859401,9.600471,0.24156546096007028,0,17.32891882068145,Watch,-3.312192119045889,-16.046578735791513,2023-11-27,12.931092113333332,77.58379304,15.911423239142835,413,Routine monitoring
349,BTP192 - Urvashi Theater,BTP192 - Urvashi Theater (Cluster 349),2024-01-01,25.923334243829956,17,17,1.0,15.999999983999999,15.999999983999999,2,secondary,osmnx,CAR,0,0,0.9038939577636204,4.000445604032324,1.5956316247034814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.96445939622078,3.0135868,3.4750679,0.04597701132297516,0,29.01764193353283,Watch,-10.946817462687953,-27.391381311789292,2024-01-08,12.95800022777778,77.58638065555556,15.88813130645567,414,Routine monitoring
181,BTP105 - Shivasankara Circle,BTP105 - Shivasankara Circle (Cluster 181),2024-03-11,4.376993396175868,15,15,1.0,0.0,0.0,1,secondary,osmnx,SCOOTER,0,0,0.4298963373823982,60.0,1.4457243726974562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.646627209860193,3.5866153,4.3877563,0.44156546394030255,0,5.26896595119901,Watch,-0.37766125866118294,-6.688262648804311,2024-03-18,12.958269953333334,77.57185499333333,15.881446893808581,415,Routine monitoring
426,POLICE_STATION::Pulikeshinagar(F.Town),POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 426),2023-12-04,2.495329850015803,7,7,1.0,-0.41666666663194446,0.0,2,residential,osmnx,CAR,0,0,0.5485064857154237,60.0,1.393217891925818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649616521832207,3.7079055,4.5809407,0.2819189627965291,0,3.229013782308302,Watch,0.5793972604760946,21.867211933626148,2023-12-11,12.991177915789471,77.61204518421053,15.86604837981097,416,Routine monitoring
662,POLICE_STATION::K.R. Pura,POLICE_STATION::K.R. Pura (Cluster 662),2023-12-25,7.892501011843813,10,46,4.6,0.4285714285102041,0.4285714285102041,2,residential,osmnx,CAR,0,0,1.9747026702173465,60.0,1.0785714285602042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24593528993731,5.257354,7.048817,0.3616586923599243,0,9.986799850279727,Watch,-1.2591354396575838,-11.196360347834077,2024-01-01,13.04589121764706,77.75045905294118,15.843160695937593,417,Routine monitoring
343,POLICE_STATION::HAL Old Airport,POLICE_STATION::HAL Old Airport (Cluster 343),2024-01-01,6.233069356833776,16,63,3.9375,0.2307692307514793,0.2307692307514793,2,tertiary,osmnx,CAR,0,0,0.0211049381176589,1.0009159420289857,1.0785714285602042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.602883392446817,4.8071814,6.331807,0.395982305208842,0,7.921560515673464,Watch,-0.6813228767733523,-7.9197037273845305,2024-01-08,12.951430770678888,77.69995355500728,15.84024941410199,418,Routine monitoring
254,"BTP206 - Shankara Mutt Circle, Vijayanagar","BTP206 - Shankara Mutt Circle, Vijayanagar (Cluster 254)",2024-01-22,3.8054597979310136,10,19,1.9,-0.6428571428341837,0.0,2,secondary,osmnx,CAR,0,0,0.8208383363207407,55.05261984042374,1.240649883249934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736319782157486,5.734373,7.808587,0.12611836194992065,0,5.657999969794176,Watch,0.9216801876366896,19.459838647597564,2024-01-29,12.998999518421051,77.54178999473685,15.829352719761603,419,Routine monitoring
217,POLICE_STATION::HSR Layout,POLICE_STATION::HSR Layout (Cluster 217),2024-01-22,27.206405740752906,33,36,1.0909090909090908,4.49999999925,4.49999999925,2,tertiary,osmnx,MOTOR CYCLE,0,0,2.629200396861887,60.0,1.272045261812176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.00806543707195,5.2893553,7.099787,0.0,0,31.535581976528363,Watch,-10.472483460543586,-24.929697074439343,2024-01-29,12.911629871794872,77.63808773076923,15.767790988264181,420,Routine monitoring
189,POLICE_STATION::Kodigehalli,POLICE_STATION::Kodigehalli (Cluster 189),2024-01-29,4.244333661436455,24,35,1.4583333333333333,0.0,0.0,1,tertiary,osmnx,CAR,0,0,0.356952516200936,60.0,1.2869707531417711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4353340465864886,4.5159316,5.8679204,0.3857202356060346,0,5.565109952224189,Watch,0.12977590563770036,2.3876344029917753,2024-02-05,13.0505294625,77.59278954583333,15.651921100670137,421,Routine monitoring
