dispatch_rank,cluster_key,cluster_label,cluster_label_display,zone_name,final_risk_band,future_risk_band,priority_band,priority_score,probability_of_escalation,predicted_next_week_ccs_score,current_week_ccs_proxy_score,predicted_delta_score,predicted_delta_pct,recommended_patrol_count,tow_required,tow_reason,recommended_time_window,recommended_day_name,recommended_shift,enforcement_action,forecast_recommendation,road_class,geometry_source,dominant_vehicle_type,records_week,weekly_growth_pct,validation_uncertainty,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,vdi,tvs,resurgence_score,persistence_score,criticality_factor,context_multiplier,layer_b_priority_boost,layer_b_alert_flag,nearby_sensitive_poi_count,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,road_node_distance_m,road_node_degree,road_node_betweenness,source_pressure_score,source_pressure_norm,spillover_out_score,spillover_in_score,spillover_total_score,propagation_radius_m,network_pagerank,network_component_id,network_component_size,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,network_vulnerability_score,dispatch_notes,lat,lon
12,574,POLICE_STATION::Bellandur,POLICE_STATION::Bellandur (Cluster 574),POLICE_STATION::Bellandur (Cluster 574),Watch,Watch,Watch,25.045920798666344,0.8562091588973999,16.582541573872536,3.469603284243128,13.112938289629408,377.9376836943056,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,CAR,5,-0.799999999968,0.0,,,0.0,0.0,0.0,0.0,1.5494772708083733,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=16.58 | esc_prob=0.86 | priority=25.0 | patrols=1 | tow=no | window=07:00-10:00,12.920921317691231,77.66547566230389
13,56,BTP027 - Modi Bridge Junction,BTP027 - Modi Bridge Junction (Cluster 56),BTP027 - Modi Bridge Junction (Cluster 56),Watch,Watch,Watch,25.000672177324702,0.8601307272911072,22.14087499253534,3.0009707534963512,19.13990423903899,637.7904286591828,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,SCOOTER,4,-0.984251968500062,0.0,,,0.0,0.0,0.0,0.0,1.4070762443860467,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=22.14 | esc_prob=0.86 | priority=25.0 | patrols=1 | tow=no | window=07:00-10:00,12.999429728679246,77.5503542664151
14,595,BTP061 - Bhashyam Circle,BTP061 - Bhashyam Circle (Cluster 595),BTP061 - Bhashyam Circle (Cluster 595),Watch,Watch,Watch,24.942391270159018,0.9612634579340616,12.69738695045284,4.56063491134376,8.13675203910908,178.41270339544707,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,10,-0.8701298701185697,0.0,,,0.0,0.0,0.0,0.0,1.3930392230330402,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=12.70 | esc_prob=0.96 | priority=24.9 | patrols=1 | tow=no | window=07:00-10:00,12.985420964536376,77.5537002098882
15,323,BTP096 - Gali Anjaneya Temple,BTP096 - Gali Anjaneya Temple (Cluster 323),BTP096 - Gali Anjaneya Temple (Cluster 323),Watch,Watch,Watch,24.89810520885971,0.9891905387242635,18.172176093970133,2.84075671592552,15.331419378044613,539.6949089902153,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,trunk,osmnx,SCOOTER,4,-0.9529411764593771,0.0,,,0.0,0.0,0.0,0.0,1.2105682674002478,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=18.17 | esc_prob=0.99 | priority=24.9 | patrols=1 | tow=no | window=07:00-10:00,12.953190102285712,77.54218438857143
16,488,"BTP115 - Sahasra Hospital, Jayanagar","BTP115 - Sahasra Hospital, Jayanagar (Cluster 488)","BTP115 - Sahasra Hospital, Jayanagar (Cluster 488)",Watch,Watch,Watch,24.835633414461228,0.9891905387242635,13.84439964294434,0.0,13.84439964294434,1384439964294.4338,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,primary,osmnx,SCOOTER,1,-0.9767441860237968,0.0,,,0.0,0.0,0.0,0.0,1.3299593842206898,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=13.84 | esc_prob=0.99 | priority=24.8 | patrols=0 | tow=no | window=07:00-10:00,12.917285903215127,77.573532282491
17,572,BTP192 - Urvashi Theater,BTP192 - Urvashi Theater (Cluster 572),BTP192 - Urvashi Theater (Cluster 572),Watch,Watch,Watch,24.687724403845827,0.8389355738957723,14.173104401507132,4.6332004014624735,9.539904000044658,205.90311601834333,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,secondary,osmnx,CAR,10,-0.62962962960631,0.0,,,0.0,0.0,0.0,0.0,1.5956316247034814,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=14.17 | esc_prob=0.84 | priority=24.7 | patrols=0 | tow=no | window=07:00-10:00,12.957942210526316,77.58636156578947
18,90,POLICE_STATION::R.T. Nagar,POLICE_STATION::R.T. Nagar (Cluster 90),POLICE_STATION::R.T. Nagar (Cluster 90),Watch,Watch,Watch,24.61180712954442,0.8667204777399699,12.386364223449284,6.430634160678801,5.955730062770481,92.61497253663798,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,SCOOTER,18,-0.863636363629821,0.0,,,0.0,0.0,0.0,0.0,1.554795703268986,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=12.39 | esc_prob=0.87 | priority=24.6 | patrols=0 | tow=no | window=07:00-10:00,13.021985926536312,77.59267638240223
19,294,BTP063 - Siddalingaiah Circle,BTP063 - Siddalingaiah Circle (Cluster 294),BTP063 - Siddalingaiah Circle (Cluster 294),Watch,Watch,Watch,24.50738550097554,0.9891905387242635,15.326955811382348,2.704332647154744,12.622623164227605,466.7555662148456,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,CAR,6,-0.8235294117404846,0.0,,,0.0,0.0,0.0,0.0,1.2364232046167536,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=15.33 | esc_prob=0.99 | priority=24.5 | patrols=0 | tow=no | window=07:00-10:00,12.971344745762712,77.59733063050847
20,110,BTP057 - Anand Rao Junction,BTP057 - Anand Rao Junction (Cluster 110),BTP057 - Anand Rao Junction (Cluster 110),Watch,Watch,Watch,24.384816029941575,0.8562091588973999,14.656021499633791,0.0,14.656021499633791,1465602149963.3792,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,secondary,osmnx,CAR,1,-0.9886363636251292,0.0,,,0.0,0.0,0.0,0.0,1.5505362784341823,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=14.66 | esc_prob=0.86 | priority=24.4 | patrols=0 | tow=no | window=07:00-10:00,12.987958257264957,77.57406626324786
21,366,"BTP148 - 17th Main, Doopanahalli Bus Stop","BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 366)","BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 366)",Watch,Watch,Watch,24.19062495792739,0.9441062808036804,18.153529712198345,2.208013768193506,15.94551594400484,722.1656027004334,0,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,CAR,3,-0.9857819905166552,0.0,,,0.0,0.0,0.0,0.0,1.236227905445173,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=18.15 | esc_prob=0.94 | priority=24.2 | patrols=0 | tow=no | window=07:00-10:00,12.969011838370491,77.64492171694344
